iter	Passed	Remaining
0	1738	1736593
1	3556	1774889
2	5392	1791943
3	7673	1910624
4	10066	2003301
5	12630	2092482
6	14365	2037784
7	15912	1973161
8	17380	1913805
9	18714	1852696
10	20070	1804492
11	21534	1773039
12	23139	1756793
13	24975	1759022
14	27985	1837696
15	29558	1817846
16	31739	1835309
17	35089	1914327
18	37090	1915026
19	38717	1897168
20	40352	1881211
21	42047	1869193
22	43642	1853847
23	45137	1835602
24	46968	1831769
25	48594	1820442
26	50312	1813110
27	51886	1801194
28	53555	1793172
29	55100	1781576
30	56587	1768806
31	58143	1758848
32	59626	1747248
33	61073	1735213
34	62540	1724341
35	64029	1714569
36	66260	1724556
37	68483	1733713
38	70379	1734232
39	72009	1728229
40	73965	1730076
41	75705	1726801
42	77478	1724348
43	79328	1723600
44	81268	1724690
45	83052	1722437
46	84917	1721832
47	86583	1717236
48	88261	1713001
49	89851	1707169
50	91412	1700981
51	92915	1693920
52	94602	1690342
53	96211	1685476
54	97767	1679828
55	99544	1678043
56	101156	1673511
57	103095	1674406
58	104689	1669701
59	106246	1664530
60	107897	1660910
61	109363	1654557
62	110761	1647359
63	112174	1640553
64	113685	1635321
65	115030	1627853
66	116561	1623157
67	118142	1619247
68	119944	1618376
69	121370	1612494
70	123084	1610499
71	124543	1605221
72	126112	1601456
73	128592	1609148
74	130791	1613093
75	132375	1609411
76	134326	1610169
77	136898	1618212
78	138849	1618734
79	140652	1617499
80	142496	1616717
81	144378	1616334
82	146147	1614664
83	147897	1612783
84	149772	1612255
85	151451	1609608
86	153298	1608748
87	155114	1607546
88	156753	1604526
89	158403	1601634
90	160217	1600414
91	161909	1597973
92	163775	1597250
93	165509	1595230
94	167184	1592655
95	168811	1589643
96	170393	1586240
97	172182	1584780
98	174064	1584161
99	177328	1595960
100	179022	1593473
101	180827	1591993
102	182623	1590420
103	184239	1587297
104	186095	1586241
105	187826	1584120
106	189454	1581148
107	191383	1580689
108	193598	1582533
109	195262	1579851
110	196959	1577453
111	198644	1574967
112	200343	1572607
113	201895	1569116
114	203402	1565314
115	204911	1561566
116	206489	1558377
117	207970	1554488
118	209439	1550555
119	211178	1548639
120	213194	1548741
121	214911	1546654
122	216538	1543939
123	218220	1541624
124	220722	1545058
125	222561	1543799
126	224040	1540057
127	225670	1537377
128	228306	1541513
129	230002	1539246
130	232642	1543253
131	235275	1547116
132	237225	1546427
133	239228	1546058
134	241300	1546110
135	242897	1543113
136	244672	1541257
137	246110	1537299
138	247969	1535981
139	249597	1533241
140	251341	1531224
141	253099	1529292
142	254802	1527035
143	256463	1524530
144	258137	1522120
145	259728	1519235
146	262548	1523496
147	265460	1528189
148	268299	1532370
149	270143	1530813
150	271607	1527118
151	273199	1524164
152	274881	1521727
153	276450	1518685
154	278250	1516911
155	280123	1515539
156	281653	1512315
157	283216	1509294
158	284796	1506378
159	286309	1503126
160	287798	1499769
161	289648	1498303
162	291374	1496198
163	292995	1493564
164	295035	1493057
165	296816	1491235
166	300226	1497535
167	302027	1495753
168	303817	1493917
169	305662	1492350
170	307365	1490095
171	309177	1488367
172	310860	1486022
173	312545	1483694
174	314230	1481374
175	315935	1479151
176	317611	1476802
177	319205	1474085
178	320593	1470431
179	322144	1467545
180	323505	1463816
181	325193	1461586
182	326714	1458610
183	328275	1455828
184	329961	1453612
185	331522	1450857
186	333250	1448839
187	334963	1446756
188	336811	1445262
189	338585	1443444
190	340246	1441147
191	341914	1438891
192	343682	1437054
193	345497	1435417
194	347271	1433606
195	348571	1429856
196	350136	1427207
197	351586	1424102
198	353058	1421103
199	354443	1417773
200	356052	1415351
201	357592	1412666
202	359278	1410566
203	360822	1407914
204	362405	1405427
205	363798	1402212
206	365251	1399248
207	366716	1396342
208	368322	1393987
209	369941	1391683
210	371530	1389278
211	373253	1387375
212	374982	1385500
213	376704	1383595
214	378468	1381848
215	380007	1379285
216	381558	1376775
217	382866	1373403
218	384329	1370600
219	385748	1367654
220	387234	1364958
221	388698	1362194
222	390276	1359841
223	391640	1356756
224	393083	1353952
225	394525	1351162
226	396031	1348599
227	397471	1345826
228	398941	1343159
229	400323	1340212
230	401736	1337382
231	403106	1334421
232	404342	1331033
233	405831	1328491
234	407276	1325815
235	408694	1323060
236	410139	1320407
237	411635	1317924
238	413095	1315338
239	414528	1312674
240	416052	1310304
241	417546	1307851
242	419285	1306170
243	420831	1303888
244	422321	1301440
245	423796	1298953
246	425175	1296181
247	426644	1293695
248	428058	1291052
249	429643	1288930
250	431177	1286660
251	432589	1284035
252	434163	1281898
253	435685	1279611
254	437059	1276898
255	438427	1274179
256	439764	1271380
257	441007	1268323
258	442442	1265828
259	443763	1263019
260	445113	1260303
261	446433	1257510
262	447872	1255064
263	449201	1252318
264	450625	1249849
265	451858	1246857
266	453269	1244368
267	454534	1241490
268	455883	1238851
269	457242	1236248
270	458633	1233740
271	460041	1231286
272	461305	1228458
273	462639	1225824
274	464069	1223456
275	465445	1220952
276	466889	1218631
277	468361	1216391
278	469981	1214539
279	471423	1212231
280	472986	1210238
281	474361	1207771
282	475757	1205364
283	477005	1202590
284	478446	1200312
285	479921	1198125
286	481235	1195543
287	482649	1193216
288	484088	1190958
289	485447	1188510
290	486750	1185931
291	488009	1183255
292	489457	1181045
293	490840	1178684
294	492358	1176654
295	493723	1174261
296	495218	1172184
297	496634	1169925
298	498141	1167883
299	499843	1166301
300	501141	1163781
301	502615	1161674
302	504135	1159679
303	505701	1157789
304	507185	1155717
305	508674	1153659
306	510010	1151260
307	511402	1148995
308	512886	1146939
309	514357	1144859
310	515857	1142848
311	517393	1140919
312	518839	1138794
313	520222	1136536
314	521690	1134470
315	523120	1132323
316	524511	1130097
317	525965	1128015
318	527448	1125995
319	528895	1123903
320	530175	1121460
321	531687	1119515
322	533141	1117450
323	534613	1115427
324	535921	1113067
325	537465	1111201
326	539035	1109390
327	540412	1107186
328	541804	1105018
329	543311	1103086
330	544708	1100935
331	546180	1098941
332	547576	1096796
333	549073	1094859
334	550641	1093063
335	552001	1090860
336	553488	1088910
337	554922	1086859
338	556364	1084828
339	557875	1082935
340	559431	1081129
341	560981	1079314
342	562395	1077241
343	563836	1075222
344	565255	1073166
345	566782	1071316
346	568250	1069359
347	569643	1067263
348	571026	1065152
349	572543	1063294
350	574027	1061377
351	575403	1059265
352	576828	1057247
353	578229	1055186
354	579760	1053367
355	581294	1051556
356	582739	1049584
357	584100	1047465
358	585664	1045713
359	587113	1043757
360	588643	1041947
361	590072	1039962
362	591548	1038061
363	592982	1036090
364	594354	1034014
365	595731	1031950
366	597211	1030068
367	598675	1028160
368	600127	1026234
369	601462	1024111
370	602857	1022094
371	604292	1020149
372	605676	1018121
373	606977	1015957
374	608304	1013840
375	609624	1011717
376	611152	1009941
377	612538	1007933
378	613925	1005930
379	615434	1004129
380	616812	1002118
381	618212	1000144
382	620008	998812
383	621537	997049
384	623021	995216
385	624581	993505
386	625714	991118
387	626820	988695
388	627985	986373
389	629039	983882
390	630108	981422
391	631124	978886
392	632185	976428
393	633235	973961
394	634298	971521
395	635375	969107
396	636432	966672
397	637468	964210
398	638518	961777
399	639525	959287
400	640494	956748
401	641513	954291
402	642536	951847
403	643554	949401
404	644631	947051
405	645662	944639
406	646705	942251
407	647721	939831
408	648685	937342
409	650214	935673
410	651616	933824
411	653017	931976
412	654074	929640
413	655418	927718
414	656843	925912
415	658211	924027
416	659688	922298
417	660981	920313
418	662430	918548
419	663981	916927
420	665405	915130
421	666907	913441
422	668290	911592
423	669776	909885
424	671527	908536
425	672973	906776
426	674609	905272
427	676292	903830
428	677808	902164
429	679000	900071
430	680681	898626
431	682212	896982
432	683663	895236
433	685191	893590
434	686856	892124
435	688585	890739
